"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2009|10",1133416,187091,1627214,709016,9289806,1220666,819209,206064,101790,3995511,2487328,303121,427144,3134846,1608934,727472,724041,1022078,1115795,276639,1353198,1421427,2360742,1284016,757394,1426259,223585,457566,665873,289377,2067036,516674,4335805,2276670,149150,2741391,925890,866173,2800033,225107,1080274,201810,1494677,6821715,863288,129930,1848212,1577606,388556,1341312,135415,74143342
"2009|11",1133144,187252,1627282,709379,9288785,1221590,818711,206008,101678,3995446,2487769,303199,427458,3133776,1608688,727622,724629,1022260,1116186,276251,1353133,1420995,2357381,1283966,756997,1426143,223559,457868,665714,288952,2066528,516989,4333803,2277540,149295,2739350,926719,866168,2798530,224903,1080332,201996,1494728,6829461,864786,129788,1849148,1578408,388407,1340937,135485,74145122
"2009|12",1132860,187390,1627351,709732,9287869,1222447,818214,205951,101570,3995525,2488175,303273,427755,3132697,1608435,727760,725164,1022452,1116531,275874,1353085,1420574,2354176,1283907,756592,1426009,223534,458156,665517,288544,2066015,517274,4331894,2278295,149437,2737337,927481,866162,2797043,224714,1080346,202177,1494784,6836675,866190,129654,1850046,1579132,388259,1340546,135531,74146111
"2010|01",1132545,187515,1627403,710091,9286950,1223295,817683,205888,101466,3995723,2488562,303349,428050,3131517,1608154,727892,725676,1022659,1116851,275484,1353043,1420133,2350913,1283836,756153,1425839,223509,458446,665271,288126,2065456,517546,4329949,2278989,149585,2735218,928228,866153,2795474,224525,1080319,202361,1494840,6843843,867588,129517,1850952,1579828,388104,1340107,135558,74146162
"2010|02",1132207,187624,1627412,710438,9286012,1224105,817130,205822,101374,3996009,2488907,303428,428328,3130253,1607850,728008,726142,1022866,1117132,275093,1353001,1419683,2347699,1283755,755697,1425627,223484,458725,664985,287710,2064861,517792,4328028,2279601,149735,2733060,928935,866140,2793871,224338,1080250,202541,1494884,6850727,868928,129383,1851822,1580474,387947,1339630,135568,74145021
"2010|03",1131881,187713,1627363,710734,9285110,1224804,816609,205761,101306,3996316,2489173,303504,428561,3129022,1607554,728096,726518,1023044,1117349,274741,1352956,1419264,2344837,1283673,755273,1425392,223463,458965,664695,287337,2064288,517991,4326311,2280085,149872,2731077,929541,866126,2792393,224170,1080152,202696,1494906,6856706,870086,129262,1852565,1581018,387803,1339163,135565,74142790
"2010|04",1131497,187802,1627222,711036,9284006,1225542,816005,205692,101254,3996682,2489409,303595,428794,3127545,1607197,728171,726879,1023224,1117547,274353,1352894,1418786,2341716,1283572,754791,1425076,223440,459214,664339,286927,2063607,518182,4324426,2280550,150025,2728847,930177,866105,2790724,223982,1080005,202860,1494902,6863066,871305,129128,1853329,1581578,387643,1338602,135551,74138801
"2010|05",1131101,187880,1626978,711296,9282791,1226221,815392,205625,101232,3997034,2489570,303693,428990,3125983,1606821,728216,727168,1023372,1117694,273979,1352812,1418303,2338742,1283466,754317,1424706,223419,459436,663964,286532,2062896,518335,4322617,2280932,150174,2726653,930758,866079,2789075,223795,1079827,203007,1494861,6868967,872419,128998,1853995,1582081,387487,1338012,135529,74133230
"2010|06",1130667,187957,1626591,711525,9281337,1226885,814724,205555,101243,3997364,2489656,303807,429159,3124214,1606396,728231,727399,1023489,1117798,273596,1352699,1417782,2335717,1283346,753819,1424248,223399,459643,663546,286128,2062102,518460,4320758,2281260,150330,2724350,931325,866046,2787336,223596,1079604,203144,1494771,6874809,873496,128863,1854596,1582563,387325,1337350,135501,74125505
"2010|07",1130222,188028,1626064,711700,9279694,1227492,814042,205488,101293,3997624,2489653,303932,429285,3122334,1605948,728210,727551,1023560,1117849,273228,1352555,1417251,2332836,1283222,753334,1423723,223381,459817,663116,285739,2061269,518545,4318967,2281517,150481,2722088,931843,866007,2785618,223393,1079354,203262,1494630,6880220,874465,128730,1855079,1582996,387169,1336655,135472,74115931
"2010|08",1129737,188101,1625364,711832,9277736,1228084,813302,205419,101387,3997822,2489561,304077,429375,3120218,1605445,728151,727638,1023586,1117852,272851,1352370,1416676,2329906,1283084,752831,1423096,223363,459971,662648,285340,2060342,518596,4317118,2281724,150638,2719718,932348,865957,2783810,223174,1079063,203366,1494427,6885579,875389,128590,1855477,1583412,387008,1335881,135442,74103882
"2010|09",1129229,188171,1624534,711921,9275521,1228641,812529,205352,101518,3997961,2489390,304235,429429,3117942,1604903,728059,727660,1023567,1117811,272478,1352152,1416078,2327020,1282935,752326,1422393,223345,460102,662161,284942,2059348,518611,4315264,2281877,150799,2717320,932824,865899,2781969,222944,1078747,203457,1494176,6890727,876242,128448,1855787,1583796,386849,1335059,135413,74089861
"2010|10",1128718,188237,1623635,711969,9273144,1229150,811755,205288,101679,3998053,2489160,304399,429449,3115605,1604345,727941,727631,1023508,1117732,272120,1351917,1415480,2324267,1282780,751837,1421651,223328,460210,661677,284559,2058325,518593,4313455,2281977,150959,2714975,933259,865831,2780159,222714,1078424,203532,1493898,6895535,877007,128308,1856017,1584141,386697,1334223,135386,74074639
"2010|11",1128171,188300,1622635,711987,9270458,1229646,810931,205223,101875,3998121,2488868,304576,429440,3113069,1603735,727794,727556,1023410,1117615,271753,1351652,1414846,2321462,1282608,751330,1420828,223310,460306,661170,284164,2057209,518541,4311564,2282037,151131,2712531,933685,865750,2778264,222469,1078080,203601,1493584,6900352,877739,128161,1856197,1584470,386542,1333325,135361,74057432
